All-Genes	Product	Pathways of gene	Accession-1
aceE	pyruvate dehydrogenase subunit E1	"pyruvate fermentation to acetate and lactate I // ""respiration (anaerobic)"" // ""pyruvate fermentation to acetate II"" // ""superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass"" // ""pyruvate decarboxylation to acetyl CoA"" // ""pyruvate oxidation pathway"""	E2348C_0117
aceF	dihydrolipoamide acetyltransferase	pyruvate decarboxylation to acetyl CoA	E2348C_0118
aceK	bifunctional isocitrate dehydrogenase kinase/phosphatase		E2348C_4319
ackA	acetate kinase	"superpathway of acetate utilization and formation // ""acetyl-CoA fermentation to butyrate II"" // ""pyruvate fermentation to acetate IV"" // ""pyruvate fermentation to acetate and lactate I"" // ""mixed acid fermentation"" // ""acetate formation from acetyl-CoA I"" // ""pyruvate fermentation to acetate II"""	E2348C_2436
acnA	aconitate hydratase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle VI (obligate autotrophs)"" // ""TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"" // ""TCA cycle IV (2-oxoglutarate decarboxylase)"" // ""TCA cycle"" // ""TCA cycle I (prokaryotic)"" // ""glyoxylate cycle"" // ""mixed acid fermentation"" // ""TCA cycle III (helicobacter)"" // ""respiration (anaerobic)"""	E2348C_1468
acnB	bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase	"superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass // ""superpathway of glyoxylate bypass and TCA"" // ""TCA cycle VI (obligate autotrophs)"" // ""TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)"" // ""TCA cycle IV (2-oxoglutarate decarboxylase)"" // ""TCA cycle"" // ""TCA cycle I (prokaryotic)"" // ""glyoxylate cycle"" // ""mixed acid fermentation"" // ""TCA cycle III (helicobacter)"" // ""respiration (anaerobic)"" // ""2-methylcitrate cycle II"" // ""2-methylcitrate cycle I"""	E2348C_0121
acpH	ACP phosphodieterase		E2348C_0339
acpP	acyl carrier protein		E2348C_1186
acpS	4'-phosphopantetheinyl transferase	acyl carrier protein metabolism II	E2348C_2840
acpT	holo-(acyl carrier protein) synthase 2	acyl carrier protein metabolism II	E2348C_3716
acrA	multidrug efflux system		E2348C_0398
acrB	multidrug efflux system protein		E2348C_0397
acrD	aminoglycoside/multidrug efflux system		E2348C_2706
acrE	hypothetical protein		E2348C_3535
acrF	multidrug efflux system protein		E2348C_3536
acrR	DNA-binding transcriptional repressor AcrR		E2348C_0399
acs	acetyl-CoA synthetase	"crotonate fermentation (to acetate and cyclohexane carboxylate) // ""pyruvate fermentation to acetate III"" // ""acetate formation from acetyl-CoA II"" // ""superpathway of acetate utilization and formation"" // ""ethanol degradation IV"" // ""ethanol degradation II"" // ""acetate conversion to acetyl-CoA"""	E2348C_4392
actP	acetate permease		E2348C_4390
ada	fused DNA-binding transcriptional dual regulator/O6-methylguanine-DNA methyltransferase		E2348C_2358
add	adenosine deaminase	"superpathway of purine deoxyribonucleosides degradation // ""purine deoxyribonucleosides degradation"" // ""purine nucleotides degradation II (aerobic)"" // ""adenine and adenosine salvage III"" // ""adenine and adenosine salvage V"" // ""purine ribonucleosides degradation"" // ""adenosine nucleotides degradation II"""	E2348C_1708
adhE	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	"mixed acid fermentation // ""pyruvate fermentation to ethanol I"" // ""acetoin degradation"" // ""ethanol degradation I"" // ""ethanol degradation II"" // ""valine degradation II"""	E2348C_1367
adhP	alcohol dehydrogenase	"mixed acid fermentation // ""pyruvate fermentation to ethanol I"" // ""acetoin degradation"" // ""ethanol degradation I"" // ""ethanol degradation II"" // ""valine degradation II"""	E2348C_1612
adiA	biodegradative arginine decarboxylase	"putrescine biosynthesis I // ""arginine degradation III (arginine decarboxylase/agmatinase pathway)"" // ""arginine dependent acid resistance"""	E2348C_4445
adiC	arginine:agmatin antiporter		E2348C_4443
adiY	DNA-binding transcriptional activator		E2348C_4444
adk	adenylate kinase	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine ribonucleotides <i>de novo</i> biosynthesis"""	E2348C_0409
adrA	diguanylate cyclase AdrA		E2348C_0321
aegA	oxidoreductase Fe-S binding subunit		E2348C_2702
aer	fused signal transducer for aerotaxis sensory component/methyl accepting chemotaxis component		E2348C_3365
aes	acetyl esterase	sophorolipid degradation	E2348C_0411
agaA	N-acetylgalactosamine-6-sulfatase		E2348C_3421
agaB	PTS system N-acetylgalactosamine-specific transporter subunit IIB		E2348C_3424
agaC	PTS system N-acetylgalactosamine-specific transporter subunit IIC		E2348C_3425
agaD	PTS system N-acetylgalactosamine-specific transporter subunit IID		E2348C_3426
agaI	galactosamine-6-phosphate isomerase		E2348C_3427
agaR	DNA-binding transcriptional regulator AgaR		E2348C_3415
agaS	tagatose-6-phosphate ketose/aldose isomerase	D-galactosamine and <i>N</i>-acetyl-D-galactosamine degradation	E2348C_3422
agaV	PTS system N-acetylgalactosamine-specific transporter subunit IIB		E2348C_3417
agaW	N-acetylgalactosamine-specific enzyme IIC component of PTS		E2348C_3418
agp	glucose-1-phosphatase/inositol phosphatase	"glucose and glucose-1-phosphate degradation // ""<i>myo</i>-inositol biosynthesis"""	E2348C_1052
ahpC	alkyl hydroperoxide reductase		E2348C_0508
ahpF	alkyl hydroperoxide reductase		E2348C_0509
aidB	isovaleryl CoA dehydrogenase		E2348C_4510
ais	hypothetical protein		E2348C_2396
alaS	alanyl-tRNA synthetase	tRNA charging	E2348C_2960
alaT	tRNA-Ala	"tRNA charging // ""tRNA processing"""	E2348C_tRNA77
alaU_1	tRNA-Ala	"tRNA charging // ""tRNA processing"""	E2348C_tRNA84
alaV	tRNA-Ala	"tRNA charging // ""tRNA processing"""	E2348C_tRNA02
alaW	tRNA-Ala	"tRNA charging // ""tRNA processing"""	E2348C_tRNA46
alaX	tRNA-Ala	"tRNA charging // ""tRNA processing"""	E2348C_tRNA45
aldA	aldehyde dehydrogenase	"superpathway of purine deoxyribonucleosides degradation // ""superpathway of pyrimidine deoxyribonucleosides degradation"" // ""mixed acid fermentation"" // ""threonine degradation IV"" // ""pyruvate fermentation to ethanol I"" // ""2'-deoxy-&alpha;-D-ribose 1-phosphate degradation"" // ""ethanol degradation I"" // ""superpathway of fucose and rhamnose degradation"" // ""L-lactaldehyde degradation (aerobic)"" // ""ethanol degradation IV"" // ""ethanol degradation II"" // ""arginine degradation II (AST pathway)"""	E2348C_1553
aldB	aldehyde dehydrogenase	"superpathway of purine deoxyribonucleosides degradation // ""superpathway of pyrimidine deoxyribonucleosides degradation"" // ""mixed acid fermentation"" // ""threonine degradation IV"" // ""pyruvate fermentation to ethanol I"" // ""2'-deoxy-&alpha;-D-ribose 1-phosphate degradation"" // ""ethanol degradation I"" // ""superpathway of fucose and rhamnose degradation"" // ""L-lactaldehyde degradation (aerobic)"" // ""ethanol degradation IV"" // ""ethanol degradation II"" // ""arginine degradation II (AST pathway)"""	E2348C_3837
alkA	3-methyladenine DNA glycosylase		E2348C_2211
alkB	oxidative demethylase of N1-methyladenine or N3-methylcytosine DNA lesions		E2348C_2357
allA	ureidoglycolate hydrolase	"allantoin degradation to glyoxylate III // ""allantoin degradation to glyoxylate I"""	E2348C_0439
allB	allantoinase	"allantoin degradation to glyoxylate III // ""allantoin degradation IV (anaerobic)"" // ""allantoin degradation to glyoxylate I"" // ""allantoin degradation to ureidoglycolate II (ammonia producing)"" // ""allantoin degradation to ureidoglycolate I (urea producing)"""	E2348C_0445
allC	allantoate amidohydrolase	"allantoin degradation to glyoxylate III // ""allantoin degradation IV (anaerobic)"" // ""allantoin degradation to ureidoglycolate II (ammonia producing)"""	E2348C_0449
allD	ureidoglycolate dehydrogenase	allantoin degradation IV (anaerobic)	E2348C_0450
allR	DNA-binding transcriptional repressor AllR		E2348C_0440
allS	DNA-binding transcriptional activator AllS		E2348C_0438
alr	alanine racemase	"alanine biosynthesis I // ""alanine degradation I"""	E2348C_4366
alsA	D-allose transporter ATP-binding protein		E2348C_4416
alsB	D-allose transporter subunit		E2348C_4417
alsC	D-allose transporter subunit		E2348C_4415
alsE	allulose-6-phosphate 3-epimerase	D-allose degradation	E2348C_4414
alsK	D-allose kinase	D-allose degradation	E2348C_4413
altR	D-arabitol repressor		E2348C_2231
alx	hypothetical protein		E2348C_3380
amiA	N-acetylmuramoyl-L-alanine amidase	anhydromuropeptides recycling	E2348C_2619
amiB	N-acetylmuramoyl-L-alanine amidase	anhydromuropeptides recycling	E2348C_4492
amiC	N-acetylmuramoyl-L-alanine amidase	anhydromuropeptides recycling	E2348C_3086
amn	AMP nucleosidase	adenosine nucleotides degradation III	E2348C_2089
ampC	beta-lactamase		E2348C_4478
ampD	N-acetyl-anhydromuranmyl-L-alanine amidase	anhydromuropeptides recycling	E2348C_0113
ampE	regulatory protein AmpE		E2348C_0114
ampG	muropeptide transporter		E2348C_0368
ampH	beta-lactam binding protein AmpH		E2348C_0312
amtB	ammonium transporter		E2348C_0386
amyA	alpha-amylase	"trehalose biosynthesis V // ""starch degradation V"""	E2348C_2045
anmK	anhydro-N-acetylmuramic acid kinase	anhydromuropeptides recycling	E2348C_1727
ansA	asparaginase	asparagine degradation I	E2348C_1894
ansB	L-asparaginase II	asparagine degradation I	E2348C_3210
ansP	L-asparagine transporter		E2348C_1593
apaG	ApaG protein		E2348C_0053
apaH	diadenosine tetraphosphatase		E2348C_0052
apbE	thiamine biosynthesis lipoprotein ApbE		E2348C_2359
aphA	acid phosphatase/phosphotransferase	"thiamin diphosphate biosynthesis III (Staphylococcus) // ""phosphate utilization in cell wall regeneration"" // ""phosphate acquisition"""	E2348C_4379
appA	phosphoanhydride phosphorylase		E2348C_0965
appB	cytochrome bd-II oxidase subunit II	"proline to cytochrome <i>bo</i> oxidase electron transfer // ""succinate to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"""	E2348C_0964
appC	cytochrome bd-II oxidase subunit I	"proline to cytochrome <i>bo</i> oxidase electron transfer // ""succinate to cytochrome <i>bo</i> oxidase electron transfer"" // ""NADH to cytochrome <i>bo</i> oxidase electron transfer"""	E2348C_0963
apt	adenine phosphoribosyltransferase	"adenine and adenosine salvage I // ""adenine and adenosine salvage II"""	E2348C_0404
aqpZ	aquaporin Z		E2348C_0872
araA	L-arabinose isomerase	L-arabinose degradation I	E2348C_0063
araB	ribulokinase	L-arabinose degradation I	E2348C_0064
araC	DNA-binding transcriptional regulator AraC		E2348C_0065
araD	L-ribulose-5-phosphate 4-epimerase	"L-arabinose degradation I // ""L-ascorbate degradation II (bacterial, aerobic)"" // ""L-ascorbate degradation I (bacterial, anaerobic)"""	E2348C_0062
araE	arabinose transporter		E2348C_3111
araF	L-arabinose transporter subunit		E2348C_2022
araG	L-arabinose transporter ATP-binding protein		E2348C_2021
araJ	MFS transport protein AraJ		E2348C_0331
arcA	two-component response regulator		E2348C_4701
arcB	aerobic respiration control sensor protein ArcB		E2348C_3489
argA	N-acetylglutamate synthase	"arginine biosynthesis I (via L-ornithine) // ""ornithine biosynthesis"" // ""arginine biosynthesis II (acetyl cycle)"""	E2348C_3087
argB	acetylglutamate kinase	"arginine biosynthesis I (via L-ornithine) // ""arginine biosynthesis II (acetyl cycle)"" // ""ornithine biosynthesis"" // ""arginine biosynthesis IV (archaebacteria)"""	E2348C_4271
argC	N-acetyl-gamma-glutamyl-phosphate reductase	"arginine biosynthesis I (via L-ornithine) // ""arginine biosynthesis II (acetyl cycle)"" // ""ornithine biosynthesis"" // ""arginine biosynthesis IV (archaebacteria)"""	E2348C_4270
argD	bifunctional N-succinyldiaminopimelate-aminotransferase/acetylornithine transaminase	"lysine biosynthesis I // ""arginine biosynthesis I (via L-ornithine)"" // ""arginine biosynthesis II (acetyl cycle)"" // ""ornithine biosynthesis"" // ""arginine biosynthesis IV (archaebacteria)"""	E2348C_3609
argE	acetylornithine deacetylase	"arginine biosynthesis I (via L-ornithine) // ""ornithine biosynthesis"""	E2348C_4269
argG	argininosuccinate synthase	"arginine biosynthesis II (acetyl cycle) // ""arginine biosynthesis IV (archaebacteria)"" // ""arginine biosynthesis I (via L-ornithine)"""	E2348C_3452
argH	argininosuccinate lyase	"arginine biosynthesis II (acetyl cycle) // ""arginine biosynthesis IV (archaebacteria)"" // ""arginine biosynthesis I (via L-ornithine)"""	E2348C_4272
argI	ornithine carbamoyltransferase subunit I	"arginine biosynthesis II (acetyl cycle) // ""arginine biosynthesis IV (archaebacteria)"" // ""arginine biosynthesis I (via L-ornithine)"" // ""citrulline degradation"""	E2348C_4578
argO	arginine exporter protein		E2348C_3170
argP	chromosome replication initiation inhibitor protein		E2348C_3166
argQ	tRNA-Arg	"tRNA charging // ""tRNA processing"""	E2348C_tRNA52
argR	arginine repressor ArgR		E2348C_3508
argS	arginyl-tRNA synthetase	tRNA charging	E2348C_2001
argT	lysine/arginine/ornithine transporter subunit		E2348C_2450
argU	tRNA-Arg	"tRNA charging // ""tRNA processing"""	E2348C_tRNA06
argV	tRNA-Arg	"tRNA charging // ""tRNA processing"""	E2348C_tRNA55
argW	tRNA-Arg	"tRNA charging // ""tRNA processing"""	E2348C_tRNA42
argX	tRNA-Arg	"tRNA charging // ""tRNA processing"""	E2348C_tRNA72
argY	tRNA-Arg	"tRNA charging // ""tRNA processing"""	E2348C_tRNA54
argZ	tRNA-Arg	"tRNA charging // ""tRNA processing"""	E2348C_tRNA53
arnA	bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase	polymyxin resistance	E2348C_2399
arnB	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase	polymyxin resistance	E2348C_2397
arnC	undecaprenyl phosphate 4-deoxy-4-formamido-L-arabinose transferase	polymyxin resistance	E2348C_2398
arnT	4-amino-4-deoxy-L-arabinose transferase	polymyxin resistance	E2348C_2401
aroA	3-phosphoshikimate 1-carboxyvinyltransferase	"superpathway of chorismate metabolism // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""chorismate biosynthesis I"" // ""chorismate biosynthesis from 3-dehydroquinate"""	E2348C_0901
aroB	3-dehydroquinate synthase	"superpathway of chorismate metabolism // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""chorismate biosynthesis I"" // ""3-dehydroquinate biosynthesis I"""	E2348C_3633
aroC	chorismate synthase	"superpathway of chorismate metabolism // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""chorismate biosynthesis I"" // ""chorismate biosynthesis from 3-dehydroquinate"""	E2348C_2469
aroD	3-dehydroquinate dehydratase	"superpathway of chorismate metabolism // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""chorismate biosynthesis I"" // ""chorismate biosynthesis from 3-dehydroquinate"" // ""quinate degradation I"""	E2348C_1778
aroE	shikimate 5-dehydrogenase	"superpathway of chorismate metabolism // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""chorismate biosynthesis I"" // ""chorismate biosynthesis from 3-dehydroquinate"""	E2348C_3544
aroF	phospho-2-dehydro-3-deoxyheptonate aldolase	"superpathway of chorismate metabolism // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""chorismate biosynthesis I"" // ""3-dehydroquinate biosynthesis I"""	E2348C_2875
aroG	phospho-2-dehydro-3-deoxyheptonate aldolase	"superpathway of chorismate metabolism // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""chorismate biosynthesis I"" // ""3-dehydroquinate biosynthesis I"""	E2348C_0631
aroH	phospho-2-dehydro-3-deoxyheptonate aldolase	"superpathway of chorismate metabolism // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""chorismate biosynthesis I"" // ""3-dehydroquinate biosynthesis I"""	E2348C_1789
aroK	shikimate kinase I	"superpathway of chorismate metabolism // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""chorismate biosynthesis I"" // ""chorismate biosynthesis from 3-dehydroquinate"""	E2348C_3634
aroL	shikimate kinase	"superpathway of chorismate metabolism // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""chorismate biosynthesis I"" // ""chorismate biosynthesis from 3-dehydroquinate"""	E2348C_0324
aroM	hypothetical protein		E2348C_0326
aroP	aromatic amino acid transporter		E2348C_0115
arsC	arsenate reductase	arsenate detoxification II (glutaredoxin)	E2348C_3739
artA	hypothetical protein		E2348_P1_054
artI	arginine transporter subunit		E2348C_0860
artJ	arginine ABC transporter substrate-binding protein		E2348C_0857
artM	arginine transporter permease subunit ArtM		E2348C_0858
artP	arginine transporter ATP-binding subunit		E2348C_0861
artQ	arginine transporter permease subunit ArtQ		E2348C_0859
asd	aspartate-semialdehyde dehydrogenase	"homoserine and methionine biosynthesis // ""lysine biosynthesis I"" // ""homoserine biosynthesis"""	E2348C_3679
aslA	acrylsulfatase-like protein		E2348C_4099
aslB	regulator of arylsulfatase activity		E2348C_4098
asmA	assembly protein		E2348C_2206
asnA	asparagine synthetase AsnA	"asparagine biosynthesis I // ""glutamine degradation I"" // ""superpathway of asparagine biosynthesis"" // ""asparagine biosynthesis II"""	E2348C_4054
asnB	asparagine synthetase B	"asparagine biosynthesis I // ""glutamine degradation I"" // ""superpathway of asparagine biosynthesis"" // ""asparagine biosynthesis II"""	E2348C_0556
asnC	DNA-binding transcriptional regulator AsnC		E2348C_4053
asnC	asparaginyl-tRNA synthetase	tRNA charging	E2348C_0923
asnT	tRNA-Asn	"tRNA charging // ""tRNA processing"""	E2348C_tRNA37
asnU	tRNA-Asn	"tRNA charging // ""tRNA processing"""	E2348C_tRNA39
asnV	tRNA-Asn	"tRNA charging // ""tRNA processing"""	E2348C_tRNA40
asnW	tRNA-Asn	"tRNA charging // ""tRNA processing"""	E2348C_tRNA38
aspA	aspartate ammonia-lyase	glutamate degradation II	E2348C_4465
aspC	aromatic amino acid aminotransferase	"TCA cycle VI (obligate autotrophs) // ""glutamate degradation II"" // ""tyrosine biosynthesis I"" // ""4-hydroxyphenylpyruvate biosynthesis"" // ""superpathway of chorismate metabolism"" // ""superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"" // ""phenylalanine biosynthesis I"""	E2348C_0921
aspS	aspartyl-tRNA synthetase	tRNA charging	E2348C_1991
aspT	tRNA-Asp	"tRNA charging // ""tRNA processing"""	E2348C_tRNA70
aspU	tRNA-Asp	"tRNA charging // ""tRNA processing"""	E2348C_tRNA03
aspV	tRNA-Asp	"tRNA charging // ""tRNA processing"""	E2348C_tRNA04
asr	acid shock protein		E2348C_1681
astA	arginine succinyltransferase	arginine degradation II (AST pathway)	E2348C_1875
astB	succinylarginine dihydrolase	arginine degradation II (AST pathway)	E2348C_1873
astC	bifunctional succinylornithine transaminase/acetylornithine transaminase	"arginine degradation II (AST pathway) // ""arginine biosynthesis I (via L-ornithine)"" // ""arginine biosynthesis II (acetyl cycle)"" // ""ornithine biosynthesis"" // ""arginine biosynthesis IV (archaebacteria)"""	E2348C_1876
astD	succinylglutamic semialdehyde dehydrogenase	arginine degradation II (AST pathway)	E2348C_1874
astE	succinylglutamate desuccinylase	arginine degradation II (AST pathway)	E2348C_1872
atlD	D-arabitol dehydrogenase	D-arabitol degradation	E2348C_2230
atlK	D-xylulose kinase	"superpathway of glucose and xylose degradation // ""xylose degradation I"" // ""D-arabitol degradation"""	E2348C_2229
atlT	D-arabitol membrane transporter		E2348C_2228
atoA	"acetyl-CoA: acetoacetyl-CoA transferase, beta subunit"		E2348C_2367
atoB	acetyl-CoA acetyltransferase	"glycerol degradation to butanol // ""crotonate fermentation (to acetate and cyclohexane carboxylate)"" // ""acetyl-CoA fermentation to butyrate II"" // ""isoleucine degradation I"""	E2348C_2369
atoC	acetoacetate metabolism regulatory protein AtoC		E2348C_2365
atoD	acetyl-CoA:acetoacetyl-CoA transferase subunit alpha		E2348C_2366
atoE	short chain fatty acid transporter		E2348C_2368
atoS	sensory histidine kinase AtoS		E2348C_2364
atpA	ATP synthase F0F1 subunit alpha	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine ribonucleotides <i>de novo</i> biosynthesis"""	E2348C_4044
atpB	ATP synthase F0F1 subunit A	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine ribonucleotides <i>de novo</i> biosynthesis"""	E2348C_4048
atpC	ATP synthase F0F1 subunit epsilon	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine ribonucleotides <i>de novo</i> biosynthesis"""	E2348C_4041
atpD	ATP synthase F0F1 subunit beta	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine ribonucleotides <i>de novo</i> biosynthesis"""	E2348C_4042
atpE	ATP synthase F0F1 subunit C	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine ribonucleotides <i>de novo</i> biosynthesis"""	E2348C_4047
atpF	ATP synthase F0F1 subunit B	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine ribonucleotides <i>de novo</i> biosynthesis"""	E2348C_4046
atpG	ATP synthase F0F1 subunit gamma	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine ribonucleotides <i>de novo</i> biosynthesis"""	E2348C_4043
atpH	ATP synthase F0F1 subunit delta	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine ribonucleotides <i>de novo</i> biosynthesis"""	E2348C_4045
atpI	F0F1 ATP synthase subunit I	"superpathway of histidine, purine, and pyrimidine biosynthesis // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I"" // ""superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"" // ""adenosine ribonucleotides <i>de novo</i> biosynthesis"""	E2348C_4049
avtA	valine--pyruvate transaminase	alanine biosynthesis I	E2348C_3824
azoR	azoreductase		E2348C_1550
bacA	undecaprenyl pyrophosphate phosphatase		E2348C_3350
baeR	DNA-binding transcriptional regulator BaeR		E2348C_2222
baeS	signal transduction histidine-protein kinase BaeS		E2348C_2221
barA	hybrid sensory histidine kinase BarA		E2348C_3053
basR	DNA-binding transcriptional regulator BasR		E2348C_4441
basS	sensor protein BasS/PmrB		E2348C_4440
bax	hypothetical protein		E2348C_3822
bcp	thioredoxin-dependent thiol peroxidase		E2348C_2717
bcr	bicyclomycin/multidrug efflux system protein		E2348C_2329
bcsA	cellulose synthase catalytic subunit	cellulose biosynthesis	E2348C_3775
bcsB	cellulose synthase regulator protein	cellulose biosynthesis	E2348C_3774
bcsC	cellulose synthase subunit BcsC	cellulose biosynthesis	E2348C_3772
bcsE	hypothetical protein		E2348C_3778
bcsF	hypothetical protein		E2348C_3779
bcsG	hypothetical protein		E2348C_3780
bcsZ	"endo-1,4-D-glucanase"		E2348C_3773
bdm	biofilm-dependent modulation protein		E2348C_1615
betA	choline dehydrogenase	"choline degradation I // ""glycine betaine biosynthesis I (Gram-negative bacteria)"" // ""glycine betaine biosynthesis II (Gram-positive bacteria)"""	E2348C_0273
betB	betaine aldehyde dehydrogenase	"choline degradation I // ""glycine betaine biosynthesis I (Gram-negative bacteria)"" // ""glycine betaine biosynthesis II (Gram-positive bacteria)"""	E2348C_0274
betI	transcriptional regulator BetI		E2348C_0275
betT	choline transport protein BetT		E2348C_0276
bfd	bacterioferritin-associated ferredoxin		E2348C_3587
bfpA	major pilin structural unit bundlin		E2348_P1_003
